Spoken Language,FY - 2011,FY - 2012,FY - 2013
ENGLISH ,3108928,3037170,2871211
ALASKA NATIVE  ,48,17,15
ALBANIAN  ,288,276,270
AMERICAN INDIAN-APACHE  ,14,22,25
AMERICAN INDIAN-CHOCTAW  ,8,2,5
AMERICAN INDIAN-CROW  ,3,5,2
AMERICAN INDIAN-DAKOTA  ,1,0,4
AMERICAN INDIAN-LAKOTA  ,7,3,3
AMERICAN INDIAN-NAKOTA  ,9,9,6
AMERICAN INDIAN-NAVAJO  ,304,291,186
AMERICAN INDIAN-OTHER  ,13,38,40
AMERICAN INDIAN-ZUNI  ,7,8,10
AMERICAN SIGN LANGUAGE  ,2749,3000,2848
AMHARIC  ,135,130,131
ARABIC  ,2239,2142,2393
ARMENIAN  ,1717,1541,1364
ASSYRIAN  ,162,129,141
BENGALI  ,316,364,392
BOSNIAN  ,831,898,871
BULGARIAN  ,47,35,46
BURMESE  ,212,244,239
CAMBODIAN  ,686,743,645
CHAMORRO  ,12,24,21
CHINESE FORMOSAN  ,7,8,2
CHINESE-CANTONESE  ,2315,2018,1819
CHINESE-MANDARIN  ,1110,1044,983
CHINESE-MIEN  ,74,64,32
CHINESE-OTHER  ,45,34,39
CHINESE-SHANGHAINESE  ,8,11,13
CHINESE-TAIWANESE  ,17,31,23
CHINESE-TOISHANESE  ,85,84,69
CREOLE-CRIOLLO  ,36,36,36
CREOLE-FRENCH  ,88,78,87
CREOLE-HAITIAN  ,1269,1357,1334
CREOLE-OTHER  ,42,45,52
CROATIAN  ,65,68,76
CZECH  ,13,10,14
DUTCH  ,2,3,3
FARSI  ,674,673,622
FINNISH  ,1,1,5
FRENCH  ,152,172,180
GERMAN  ,74,64,61
GREEK  ,124,144,112
GUJARATI  ,406,380,436
HEBREW  ,31,36,25
HINDI  ,310,312,286
HMONG  ,1134,1079,962
HUNGARIAN  ,18,16,21
ILOCANO  ,73,91,62
INDONESIAN  ,17,32,27
ITALIAN  ,137,123,103
JAPANESE  ,129,109,108
KHMER  ,262,300,293
KOREAN  ,1276,1287,1061
KURDISH  ,66,71,67
LAO (LAOTIAN)  ,766,724,565
LITHUANIAN  ,11,7,13
MACEDONIAN  ,40,43,51
MALAYALAM  ,59,65,74
MONGOLIAN  ,10,13,7
NORWEGIAN  ,10,3,1
OROMO  ,33,26,25
OTHER  ,1069,1134,1282
PASHTO  ,28,38,39
PENNSYLVANIA DUTCH  ,0,1,0
PERSIAN  ,69,79,66
PIDGIN-HAWAIIAN  ,2,2,3
POLISH  ,1006,979,960
PORTUGUESE  ,746,779,676
PUNJABI  ,488,499,488
ROMANIAN  ,117,131,134
RUSSIAN  ,2151,2128,1831
SAMOAN  ,283,396,235
SERBO-CROATIAN  ,158,155,147
SLOVAK  ,4,9,6
SOMALI  ,541,520,543
SPANISH  ,132157,129138,117721
SWAHILI  ,57,66,85
SWEDISH  ,0,1,0
SYRIAC  ,5,4,3
TAGALOG  ,569,668,648
THAI  ,135,125,131
TONGAN  ,37,49,33
TURKISH  ,116,93,96
TWI (FANTI)  ,4,9,16
UKRAINIAN  ,110,133,101
URDU  ,380,418,412
VIETNAMESE  ,3888,3634,3306
YIDDISH  ,7,8,7
YUGOSLAVIAN  ,38,23,21
